# id,folder,cmd,resources,state,restart,workflow,diskspace,deps,creates,tqueued,trunning,tstop,error
2686484,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:43","2020-07-17 02:21:35","2020-07-17 02:21:36","ModuleNotFoundError: No module named 'gpaw'"
2686481,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:42","2020-07-17 02:20:31","2020-07-17 02:20:32","ModuleNotFoundError: No module named 'gpaw'"
2686443,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:27","2020-07-16 23:24:32","2020-07-16 23:24:33","ModuleNotFoundError: No module named 'gpaw'"
2686467,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:37","2020-07-17 01:58:31","2020-07-17 01:58:31","ModuleNotFoundError: No module named 'gpaw'"
2686455,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:33","2020-07-17 01:23:31","2020-07-17 01:23:32","ModuleNotFoundError: No module named 'gpaw'"
2686479,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:41","2020-07-17 02:09:32","2020-07-17 02:09:32","ModuleNotFoundError: No module named 'gpaw'"
2686444,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:28","2020-07-16 23:30:31","2020-07-16 23:30:32","ModuleNotFoundError: No module named 'gpaw'"
2686468,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:37","2020-07-17 01:59:31","2020-07-17 01:59:31","ModuleNotFoundError: No module named 'gpaw'"
2686456,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:33","2020-07-17 01:26:31","2020-07-17 01:26:31","ModuleNotFoundError: No module named 'gpaw'"
2686480,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:41","2020-07-17 02:19:32","2020-07-17 02:19:32","ModuleNotFoundError: No module named 'gpaw'"
2686478,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:41","2020-07-17 02:09:31","2020-07-17 02:09:32","ModuleNotFoundError: No module named 'gpaw'"
2686445,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:30","2020-07-16 23:33:32","2020-07-16 23:33:32","ModuleNotFoundError: No module named 'gpaw'"
2686469,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:38","2020-07-17 01:59:31","2020-07-17 01:59:31","ModuleNotFoundError: No module named 'gpaw'"
2686457,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:34","2020-07-17 01:27:32","2020-07-17 01:27:32","ModuleNotFoundError: No module named 'gpaw'"
2686481,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:42","2020-07-17 02:20:31","2020-07-17 02:20:32","ModuleNotFoundError: No module named 'gpaw'"
2686446,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:30","2020-07-16 23:34:31","2020-07-16 23:34:31","ModuleNotFoundError: No module named 'gpaw'"
2686470,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:38","2020-07-17 02:00:31","2020-07-17 02:00:31","ModuleNotFoundError: No module named 'gpaw'"
2686458,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:34","2020-07-17 01:27:31","2020-07-17 01:27:31","ModuleNotFoundError: No module named 'gpaw'"
2686482,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:42","2020-07-17 02:21:32","2020-07-17 02:21:33","ModuleNotFoundError: No module named 'gpaw'"
2686447,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:30","2020-07-16 23:37:32","2020-07-16 23:37:32","ModuleNotFoundError: No module named 'gpaw'"
2686471,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:38","2020-07-17 02:01:31","2020-07-17 02:01:32","ModuleNotFoundError: No module named 'gpaw'"
2686459,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:35","2020-07-17 01:30:31","2020-07-17 01:30:32","ModuleNotFoundError: No module named 'gpaw'"
2686483,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:42","2020-07-17 02:21:34","2020-07-17 02:21:35","ModuleNotFoundError: No module named 'gpaw'"
2686448,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:31","2020-07-16 23:38:32","2020-07-16 23:38:32","ModuleNotFoundError: No module named 'gpaw'"
2686472,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:39","2020-07-17 02:01:31","2020-07-17 02:01:31","ModuleNotFoundError: No module named 'gpaw'"
2686460,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:35","2020-07-17 01:31:31","2020-07-17 01:31:32","ModuleNotFoundError: No module named 'gpaw'"
2686484,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:43","2020-07-17 02:21:35","2020-07-17 02:21:36","ModuleNotFoundError: No module named 'gpaw'"
2686449,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:31","2020-07-16 23:45:31","2020-07-16 23:45:32","ModuleNotFoundError: No module named 'gpaw'"
2686473,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:39","2020-07-17 02:08:31","2020-07-17 02:08:32","ModuleNotFoundError: No module named 'gpaw'"
2686461,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:35","2020-07-17 01:51:31","2020-07-17 01:51:32","ModuleNotFoundError: No module named 'gpaw'"
2686450,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:31","2020-07-16 23:46:31","2020-07-16 23:46:31","ModuleNotFoundError: No module named 'gpaw'"
2686474,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:39","2020-07-17 02:08:31","2020-07-17 02:08:32","ModuleNotFoundError: No module named 'gpaw'"
2686462,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:35","2020-07-17 01:52:30","2020-07-17 01:52:30","ModuleNotFoundError: No module named 'gpaw'"
2686451,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:32","2020-07-17 00:00:31","2020-07-17 00:00:32","ModuleNotFoundError: No module named 'gpaw'"
2686475,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:40","2020-07-17 02:09:31","2020-07-17 02:09:31","ModuleNotFoundError: No module named 'gpaw'"
2686463,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:36","2020-07-17 01:53:31","2020-07-17 01:53:32","ModuleNotFoundError: No module named 'gpaw'"
2686452,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:32","2020-07-17 01:21:32","2020-07-17 01:21:32","ModuleNotFoundError: No module named 'gpaw'"
2686476,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:40","2020-07-17 02:09:31","2020-07-17 02:09:32","ModuleNotFoundError: No module named 'gpaw'"
2686464,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:36","2020-07-17 01:56:31","2020-07-17 01:56:32","ModuleNotFoundError: No module named 'gpaw'"
2686453,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:32","2020-07-17 01:22:31","2020-07-17 01:22:31","ModuleNotFoundError: No module named 'gpaw'"
2686477,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:40","2020-07-17 02:09:31","2020-07-17 02:09:31","ModuleNotFoundError: No module named 'gpaw'"
2686465,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:37","2020-07-17 01:57:31","2020-07-17 01:57:31","ModuleNotFoundError: No module named 'gpaw'"
2686454,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:33","2020-07-17 01:23:31","2020-07-17 01:23:31","ModuleNotFoundError: No module named 'gpaw'"
2686466,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan","cavity_run.py",8:5h,FAILED,0,0,0,"","","2020-07-16 23:20:37","2020-07-17 01:58:31","2020-07-17 01:58:32","ModuleNotFoundError: No module named 'gpaw'"
2686698,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:19:37","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686698,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:19:37","2020-07-17 10:20:25","2020-07-17 10:20:26","ModuleNotFoundError: No module named 'gpaw'"
2686701,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:24:49","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686701,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,running,0,0,0,"","","2020-07-17 10:24:49","2020-07-17 10:25:26","1970-01-01 01:00:00",""
2686701,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:24:49","2020-07-17 10:25:26","2020-07-17 10:25:42","rank=6 L17: ModuleNotFoundError: No module named 'pandas'"
2686705,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:32:39","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686705,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,running,0,0,0,"","","2020-07-17 10:32:39","2020-07-17 10:33:25","1970-01-01 01:00:00",""
2686705,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:32:39","2020-07-17 10:33:25","2020-07-17 10:33:39","rank=1 L19: ModuleNotFoundError: No module named 'mpmath'"
2686708,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:35:02","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686708,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,done,0,0,0,"","","2020-07-17 10:35:02","2020-07-17 10:35:25","2020-07-17 10:35:34",""
2686705,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:32:39","2020-07-17 10:33:25","2020-07-17 10:33:39","rank=1 L19: ModuleNotFoundError: No module named 'mpmath'"
2686701,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:24:49","2020-07-17 10:25:26","2020-07-17 10:25:42","rank=6 L17: ModuleNotFoundError: No module named 'pandas'"
2686698,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,FAILED,0,0,0,"","","2020-07-17 10:19:37","2020-07-17 10:20:25","2020-07-17 10:20:26","ModuleNotFoundError: No module named 'gpaw'"
2686708,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,done,0,0,0,"","","2020-07-17 10:35:02","2020-07-17 10:35:25","2020-07-17 10:35:34",""
2686715,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:49","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686716,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_5","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:49","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686717,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_10","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:49","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686718,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_30","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:50","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686719,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_50","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:50","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686720,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_70","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:50","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686721,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_0.1/mem_100","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:51","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686722,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:51","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686723,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_5","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:52","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686724,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_10","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:52","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686725,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_30","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:52","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686726,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_50","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:53","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686727,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_70","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:53","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686728,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_1/mem_100","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:53","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686729,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_1","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:54","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686730,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_5","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:54","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686731,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_10","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:54","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686732,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_30","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:54","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686733,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_50","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:55","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686734,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_70","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:55","1970-01-01 01:00:00","1970-01-01 01:00:00",""
2686735,"/home/niflheim/markas/TEMPO/defect-emission/tensor_networks/classical_tempo_cavity/Markov_scan/g_5/mem_100","cavity_run.py",8:10m,queued,0,0,0,"","","2020-07-17 10:44:55","1970-01-01 01:00:00","1970-01-01 01:00:00",""
